blackforge_id,source_ref,title,pipeline_stage,stage_primary,functional_category,functional_category_primary,domain_scope,domain_primary,execution_scope,execution_scope_v2,tier,activation_tier,audit_score,quality_score_v2,review_status,change_reason,tier_relaxation_reason
BF-CYB-S800-0670,S800-0670,Fatiga de recuperación,DIVERGIR,EVALUAR,experimentation_benchmarks,human_factors,developer_tools,cybersecurity,defensive_design,local_analysis,core,essential,78,68,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1507,L600-1507,Lente de dependencia transitiva,DESCOMPONER,DESCOMPONER,supply_chain_build,supply_chain_build,developer_tools,cybersecurity,conceptual_only,conceptual_only,core,essential,61,67,approved_auto,domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0630,S800-0630,Organización de sucesión,DIVERGIR,EVALUAR,experimentation_benchmarks,human_factors,developer_tools,cybersecurity,defensive_design,local_analysis,extended,essential,74,67,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0603,S800-0603,Operador adversarial benigno,ATACAR,ATACAR,adversarial_threat,human_factors,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,66,66,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1506,L600-1506,Lente de cadena de suministro,DESCOMPONER,CARTOGRAFIAR,supply_chain_build,supply_chain_build,hybrid,cybersecurity,conceptual_only,conceptual_only,core,essential,71,66,approved_auto,stage_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0548,M800-0548,Aprendizaje humano en el bucle,EVOLUCIONAR,EVOLUCIONAR,agents_ai_devtools,human_factors,developer_tools,developer_tools,defensive_design,defensive_design,core,essential,66,60,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0305,M800-0305,Modo aislado,DESCOMPONER,DESCOMPONER,failure_resilience,supply_chain_build,developer_tools,developer_tools,defensive_design,defensive_design,core,essential,70,59,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0503,M800-0503,Licencia progresiva,DIVERGIR,DIVERGIR,trust_identity_access,human_legal_ethics,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,70,55,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-R1000-0314,R1000-0314,Descomposición por dependencia,DESCOMPONER,DESCOMPONER,agents_ai_devtools,supply_chain_build,developer_tools,developer_tools,defensive_design,defensive_design,extended,essential,66,54,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1439,L600-1439,El punto de vista de quien tiene acceso legal a información que éticamente no debería utilizar.,CARTOGRAFIAR,DELIMITAR,trust_identity_access,human_legal_ethics,cybersecurity,cybersecurity,conceptual_only,defensive_design,extended,essential,58,51,manual_review_recommended,stage_reclassified;category_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0567,M800-0567,Prueba antes de despliegue,MATERIALIZAR,EVALUAR,supply_chain_build,evidence_verification,hybrid,cybersecurity,local_analysis,local_analysis,core,essential,85,75,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0576,M800-0576,Verificación reproducible,EVALUAR,EVALUAR,supply_chain_build,evidence_verification,hybrid,cybersecurity,local_analysis,local_analysis,core,essential,75,74,approved_auto,category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1540,L600-1540,Lente de inversión de modelo,CARTOGRAFIAR,CARTOGRAFIAR,data_privacy_provenance,agents_ai_devtools,hybrid,cybersecurity,conceptual_only,defensive_design,core,essential,71,70,approved_auto,category_reclassified;domain_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0557,M800-0557,Explicación operativa,DIVERGIR,DIVERGIR,evidence_verification,evidence_verification,developer_tools,developer_tools,defensive_design,defensive_design,core,essential,70,68,approved_auto,tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0603,M800-0603,Sin combustibles fósiles,DIVERGIR,EVALUAR,agents_ai_devtools,causal_state_transitions,hybrid,cybersecurity,defensive_design,local_analysis,extended,essential,65,67,approved_auto,stage_reclassified;category_reclassified;domain_reclassified;execution_hardened;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-S800-0472,S800-0472,Contrato adversarial reversible,ATACAR,ATACAR,experimentation_benchmarks,adversarial_threat,hybrid,cybersecurity,defensive_design,defensive_design,extended,essential,75,66,approved_auto,category_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-M800-0375,M800-0375,Dato adversarial,ATACAR,ATACAR,data_privacy_provenance,adversarial_threat,cybersecurity,cybersecurity,defensive_design,defensive_design,extended,essential,66,64,approved_auto,category_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1514,L600-1514,Lente de autenticación multifactor,CARTOGRAFIAR,CARTOGRAFIAR,trust_identity_access,trust_identity_access,hybrid,cybersecurity,conceptual_only,conceptual_only,core,essential,70,64,approved_auto,domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1530,L600-1530,Lente de minimización de retención,ROMPER,CARTOGRAFIAR,data_privacy_provenance,data_privacy_provenance,hybrid,cybersecurity,conceptual_only,conceptual_only,core,essential,58,64,approved_auto,stage_reclassified;domain_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1534,L600-1534,Lente de privacidad por defecto,CARTOGRAFIAR,CARTOGRAFIAR,data_privacy_provenance,data_privacy_provenance,cybersecurity,cybersecurity,conceptual_only,conceptual_only,core,essential,61,64,approved_auto,tier_recalibrated;causal_axis_added;integration_contract_added,
BF-CYB-L600-1536,L600-1536,Lente de presupuesto de privacidad,ROMPER,CARTOGRAFIAR,data_privacy_provenance,data_privacy_provenance,cybersecurity,cybersecurity,conceptual_only,conceptual_only,core,essential,63,64,approved_auto,stage_reclassified;tier_recalibrated;causal_axis_added;integration_contract_added,
